# Bluetooth SIG Assigned Numbers, as sdrtop's signal::ble::assigned
# reads them. Generated by packaging/update-sig.sh; do not edit by
# hand. KIND<TAB>NUMBER<TAB>NAME: C a company identifier, S a 16-bit
# service UUID, the number in hex.
# fetched 2026-09-22
# source https://bitbucket.org/bluetooth-SIG/public company_identifiers.yaml rows 4035 sha256 7e9b9ce18e6a4fc9681856f1c224994843ca9273a223e74295c21624ec1d8bc5
# source https://bitbucket.org/bluetooth-SIG/public service_uuids.yaml rows 76 sha256 401d8e0962d2586dc2526e9ecedef40803c6e09b689767a526e86caa783c3166
C	0125	SEAT es
C	0126	Promethean Ltd.
C	0127	Salutica Allied Solutions
C	0128	GPSI Group Pty Ltd
C	0129	Nimble Devices Oy
C	012A	Changzhou Yongse Infotech Co., Ltd.
C	012B	SportIQ
C	012C	TEMEC Instruments B.V.
C	012D	Sony Corporation
C	012E	ASSA ABLOY
C	012F	Clarion Co. Inc.
C	0130	Warehouse Innovations
C	0131	Cypress Semiconductor
C	0132	MADS Inc
C	0133	Blue Maestro Limited
C	0134	Resolution Products, Ltd.
C	0135	Aireware LLC
C	0136	Silvair, Inc.
C	0137	Prestigio Plaza Ltd.
C	0138	NTEO Inc.
C	0139	Focus Systems Corporation
C	013A	Tencent Holdings Ltd.
C	013B	Allegion
C	013C	Murata Manufacturing Co., Ltd.
C	013D	WirelessWERX
C	013E	Nod, Inc.
C	0140	Alpine Electronics (China) Co., Ltd
C	0141	FedEx Services
C	0142	Grape Systems Inc.
C	0143	Bkon Connect
C	0144	Lintech GmbH
C	0145	Novatel Wireless
C	0146	Ciright
C	0147	Mighty Cast, Inc.
C	0148	Ambimat Electronics
C	0149	Perytons Ltd.
C	014A	Tivoli Audio, LLC
C	014B	Master Lock
C	014C	Mesh-Net Ltd
C	014D	HUIZHOU DESAY SV AUTOMOTIVE CO., LTD.
C	014E	Tangerine, Inc.
C	014F	B&W Group Ltd.
C	0150	Pioneer Corporation
C	0151	OnBeep
C	0152	Vernier Software & Technology
C	0153	ROL Ergo
C	0154	Pebble Technology
C	0155	NETATMO
C	0156	Accumulate AB
C	0157	Anhui Huami Information Technology Co., Ltd.
C	0158	Inmite s.r.o.
C	0159	ChefSteps, Inc.
C	015A	micas AG
C	015B	Biomedical Research Ltd.
C	015C	Pitius Tec S.L.
C	015D	Estimote, Inc.
C	015E	Unikey Technologies, Inc.
C	015F	Timer Cap Co.
C	0160	AwoX
C	0161	yikes
C	0162	MADSGlobalNZ Ltd.
C	0163	PCH International
C	0164	Qingdao Yeelink Information Technology Co., Ltd.
C	0165	Milwaukee Electric Tools
C	0166	MISHIK Pte Ltd
C	0167	Ascensia Diabetes Care US Inc.
C	0168	Spicebox LLC
C	0169	emberlight
C	016A	Copeland Cold Chain LP
C	016B	Qblinks
C	016C	MYSPHERA
C	016D	LifeScan Inc
C	016E	Volantic AB
C	016F	Podo Labs, Inc
C	0170	Roche Diabetes Care AG
C	0171	Amazon.com Services LLC
C	0172	Connovate Technology Private Limited
C	0173	Kocomojo, LLC
C	0174	Everykey Inc.
C	0175	Dynamic Controls
C	0176	SentriLock
C	0177	I-SYST inc.
C	0178	CASIO COMPUTER CO., LTD.
C	0179	LAPIS Semiconductor Co.,Ltd
C	017A	Telemonitor, Inc.
C	017B	taskit GmbH
C	017C	Mercedes-Benz Group AG
C	017D	BatAndCat
C	017E	BluDotz Ltd
C	017F	XTel Wireless ApS
C	0180	Gigaset Technologies GmbH
C	0181	Gecko Health Innovations, Inc.
C	0183	Walt Disney
C	0184	Nectar
C	0187	Seraphim Sense Ltd
C	0188	Unico RBC
C	0189	Physical Enterprises Inc.
C	018A	Able Trend Technology Limited
C	018B	Konica Minolta, Inc.
C	018C	Wilo SE
C	018D	Extron Design Services
C	018E	Google LLC
C	0190	Intelletto Technologies Inc.
C	0191	FDK CORPORATION
C	0192	Cloudleaf, Inc
C	0193	Maveric Automation LLC
C	0194	Acoustic Stream Corporation
C	0195	Zuli
C	0196	Paxton Access Ltd
C	0197	WiSilica Inc.
C	0198	VENGIT Korlatolt Felelossegu Tarsasag
C	0199	SALTO SYSTEMS S.L.
C	019A	TRON Forum
C	019B	CUBETECH s.r.o.
C	019C	Cokiya Incorporated
C	019D	CVS Health
C	019E	Ceruus
C	019F	Strainstall Ltd
C	01A0	Channel Enterprises (HK) Ltd.
C	01A1	FIAMM
C	01A2	GIGALANE.CO.,LTD
C	01A4	MSA Innovation, LLC
C	01A5	Icon Health and Fitness
C	01A6	Wille Engineering
C	01A7	ENERGOUS CORPORATION
C	01A8	Taobao
C	01A9	Canon Inc.
C	01AA	Geophysical Technology Inc.
C	01AB	Meta Platforms, Inc.
C	01AC	Trividia Health, Inc.
C	01AD	FlightSafety International
C	01AF	Sunrise Micro Devices, Inc.
C	01B0	Star Micronics Co., Ltd.
C	01B1	Netizens Sp. z o.o.
C	01B2	Nymi Inc.
C	01B3	Nytec, Inc.
C	01B4	Trineo Sp. z o.o.
C	01B5	Nest Labs Inc.
C	01B6	LM Technologies Ltd
C	01B7	General Electric Company
C	01B8	i+D3 S.L.
C	01B9	HANA Micron
C	01BA	SPIA Cycling Inc.
C	01BB	Cochlear Bone Anchored Solutions AB
C	01BC	SenionLab AB
C	01BD	Syszone Co., Ltd
C	01BE	Pulsate Mobile Ltd.
C	01BF	Hongkong OnMicro Electronics Limited
C	01C1	BRADATECH Corp.
C	01C2	Transenergooil AG
C	01C4	DME Microelectronics
C	01C5	Bitcraze AB
C	01C6	HASWARE Inc.
C	01C7	Abiogenix Inc.
C	01C8	Poly-Control ApS
C	01C9	Avi-on
C	01CA	Laerdal Medical AS
C	01CB	Fetch My Pet
C	01CC	Sam Labs Ltd.
C	01CD	Chengdu Synwing Technology Ltd
C	01CE	HOUWA SYSTEM DESIGN, k.k.
C	01CF	BSH
C	01D0	Primus Inter Pares Ltd
C	01D1	August Home, Inc
C	01D2	Gill Electronics
C	01D3	Sky Wave Design
C	01D4	Newlab S.r.l.
C	01D5	ELAD srl
C	01D6	G-wearables inc.
C	01D8	Code Corporation
C	01D9	Savant Systems LLC
C	01DA	Logitech International SA
C	01DB	Innblue Consulting
C	01DD	Koninklijke Philips N.V.
C	01DE	Minelab Electronics Pty Limited
C	01DF	Bison Group Ltd.
C	01E0	WS Audiology Denmark A/S
C	01E1	Jolla Ltd
C	01E3	Caterpillar Inc
C	01E4	Freedom Innovations
C	01E5	Dynamic Devices Ltd
C	01E6	Technology Solutions (UK) Ltd
C	01EA	Advanced Application Design, Inc.
C	01EC	Spreadtrum Communications Shanghai Ltd
C	01EE	Valeo Service
C	01EF	Fullpower Technologies, Inc.
C	01F0	KloudNation
C	01F1	Zebra Technologies Corporation
C	01F2	Itron, Inc.
C	01F3	The University of Tokyo
C	01F4	UTC Fire and Security
C	01F5	Cool Webthings Limited
C	01F6	DJO Global
C	01F7	Gelliner Limited
